"ID"	"Function"
"fpt1"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"fpt2"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"fpt3"	"4-Aminobutyrate (GABA) -- Production"
"fpt4"	"7-Oxodeoxycholic acid -- Production"
"fpt5"	"7-Oxolithocholic acid -- Production"
"fpt6"	"Acetate -- Consumption"
"fpt7"	"Acetate -- Production"
"fpt8"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"fpt9"	"Acetone -- Production"
"fpt10"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"fpt11"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"fpt12"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"fpt13"	"Arabinan -- Macromolecule"
"fpt14"	"Arabinogalactan -- Macromolecule"
"fpt15"	"beta-Muricholic acid -- Production"
"fpt16"	"Biotin (Vitamin B7) -- Consumption"
"fpt17"	"Biotin (Vitamin B7) -- Production"
"fpt18"	"Butylamine -- Production"
"fpt19"	"Butyrate -- Production"
"fpt20"	"Cadaverine -- Production"
"fpt21"	"Cellobiose -- Consumption"
"fpt22"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"fpt23"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"fpt24"	"Cholic acid (Cholate) -- Consumption"
"fpt25"	"Cholic acid (Cholate) -- Production"
"fpt26"	"Choline -- Consumption"
"fpt27"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"fpt28"	"Citrate -- Consumption"
"fpt29"	"CO2 -- Consumption"
"fpt30"	"CO2 -- Production"
"fpt31"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"fpt32"	"D-Fructose (Fructose) -- Consumption"
"fpt33"	"D-Fructuronate -- Consumption"
"fpt34"	"D-Galactosamine (Galactosamine) -- Consumption"
"fpt35"	"D-Galactose -- Consumption"
"fpt36"	"D-Galacturonate -- Consumption"
"fpt37"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"fpt38"	"D-Glucosamine (Glucosamine) -- Consumption"
