"ID"	"Function"
"fpt1"	"4-Aminobutyrate (GABA) -- Production"
"fpt2"	"7-Oxodeoxycholic acid -- Production"
"fpt3"	"7-Oxolithocholic acid -- Production"
"fpt4"	"Acetate -- Consumption"
"fpt5"	"Acetate -- Production"
"fpt6"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"fpt7"	"Acetone -- Production"
"fpt8"	"Adenine -- Consumption"
"fpt9"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"fpt10"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"fpt11"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"fpt12"	"Arabinogalactan -- Macromolecule"
"fpt13"	"beta-Muricholic acid -- Production"
"fpt14"	"Biotin (Vitamin B7) -- Consumption"
"fpt15"	"Biotin (Vitamin B7) -- Production"
"fpt16"	"Butylamine -- Production"
"fpt17"	"Butyrate -- Production"
"fpt18"	"Cadaverine -- Production"
"fpt19"	"Cellobiose -- Consumption"
"fpt20"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"fpt21"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"fpt22"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"fpt23"	"Cholic acid (Cholate) -- Consumption"
"fpt24"	"Cholic acid (Cholate) -- Production"
"fpt25"	"Choline -- Consumption"
"fpt26"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"fpt27"	"CO2 -- Consumption"
"fpt28"	"CO2 -- Production"
"fpt29"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"fpt30"	"D-Fructose (Fructose) -- Consumption"
"fpt31"	"D-Fructuronate -- Consumption"
"fpt32"	"D-Galactose -- Consumption"
"fpt33"	"D-Galacturonate -- Consumption"
"fpt34"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"fpt35"	"D-Glucosamine (Glucosamine) -- Consumption"
"fpt36"	"D-Glucose (Glucose) -- Consumption"
"fpt37"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"fpt38"	"D-Mannitol (Mannitol) -- Consumption"
"fpt39"	"D-Mannose (Mannose) -- Consumption"
"fpt40"	"D-Psicose -- Consumption"
"fpt41"	"D-Ribose (Ribose) -- Consumption"
"fpt42"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"fpt43"	"D-Tagatose -- Consumption"
"fpt44"	"D-Tagaturonate -- Consumption"
"fpt45"	"D-Xylose (Xylose) -- Consumption"
"fpt46"	"Deoxycholic acid -- Production"
"fpt47"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"fpt48"	"Dimethylamine -- Production"
"fpt49"	"Ethanol -- Production"
"fpt50"	"Folic acid (Folate, Vitamin B9) -- Production"
"fpt51"	"Formaldehyde -- Production"
"fpt52"	"Formate -- Consumption"
"fpt53"	"Formate -- Production"
"fpt54"	"FOS (Fructooligosaccharide) -- Consumption"
"fpt55"	"Fructan (Inulin, Levan) -- Macromolecule"
"fpt56"	"Fumarate -- Consumption"
"fpt57"	"Galactan -- Macromolecule"
"fpt58"	"Glycerol -- Consumption"
"fpt59"	"Glycochenodeoxycholate -- Consumption"
"fpt60"	"Glycocholate -- Consumption"
"fpt61"	"Glycodeoxycholate -- Consumption"
"fpt62"	"Glycolithocholate -- Consumption"
"fpt63"	"H2 (Hydrogen) -- Consumption"
"fpt64"	"H2 (Hydrogen) -- Production"
"fpt65"	"H2O2 -- Production"
"fpt66"	"H2S (HS-) -- Production"
"fpt67"	"Hemicellulose, not specified -- Macromolecule"
"fpt68"	"Hippurate -- Consumption"
"fpt69"	"Histamine -- Production"
"fpt70"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"fpt71"	"Indole-3-acetate (Indoleacetate) -- Production"
"fpt72"	"Indole -- Production"
"fpt73"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"fpt74"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"fpt75"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"fpt76"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"fpt77"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"fpt78"	"L-Arginine (Arginine) -- Consumption"
"fpt79"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"fpt80"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"fpt81"	"L-Fucose -- Consumption"
"fpt82"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"fpt83"	"L-Histidine (Histidine) -- Consumption"
"fpt84"	"L-Idonate -- Consumption"
"fpt85"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"fpt86"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"fpt87"	"L-Leucine (Leucine) -- Consumption"
"fpt88"	"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"
"fpt89"	"L-Methionine (D-Methionine) -- Consumption"
"fpt90"	"L-Ornithine (Ornithine) -- Production"
"fpt91"	"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"
"fpt92"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"fpt93"	"L-Threonine (Threonine) -- Consumption"
"fpt94"	"L-Threonine (Threonine) -- Production"
"fpt95"	"L-Tryptophan (Tryptophan) -- Consumption"
