"Taxa"	"warble_1"	"warble_2"	"warble_3"	"warble_4"	"warble_6"	"warble_7"	"warble_9"	"warble_10"	"warble_12"	"warble_14"	"warble_15"	"warble_20"	"warble_33"	"warble_42"	"warble_43"	"warble_45"	"warble_49"	"warble_50"	"warble_52"	"warble_53"	"warble_54"	"warble_57"	"warble_58"	"warble_60"	"warble_63"	"warble_68"	"warble_69"	"warble_73"	"warble_80"	"warble_83"	"warble_84"	"warble_85"	"warble_87"	"warble_88"	"warble_89"	"warble_90"	"warble_93"	"warble_94"	"warble_95"	"warble_96"	"warble_97"	"warble_100"	"warble_101"	"warble_103"	"warble_104"	"warble_106"	"warble_107"	"warble_108"	"warble_109"	"warble_110"	"warble_111"	"warble_112"	"warble_114"	"warble_117"	"warble_118"	"warble_119"	"warble_120"	"warble_121"	"warble_122"	"warble_123"	"warble_125"	"warble_126"	"warble_127"	"warble_135"	"warble_136"	"warble_137"	"warble_139"	"warble_140"	"warble_141"	"warble_144"	"warble_145"	"warble_147"	"warble_148"	"warble_149"	"warble_150"	"warble_151"	"warble_152"	"warble_153"	"warble_154"	"warble_157"	"warble_158"	"warble_159"	"warble_161"	"warble_162"	"warble_164"	"warble_170"	"warble_173"	"warble_178"	"warble_180"	"warble_181"	"warble_185"	"warble_187"	"warble_188"	"warble_189"	"warble_191"	"warble_192"	"warble_197"	"warble_200"	"warble_202"	"warble_221"	"warble_222"	"warble_224"	"warble_225"	"warble_227"	"warble_228"	"warble_229"	"warble_230"	"warble_232"	"warble_234"	"warble_236"	"warble_240"	"warble_243"	"warble_245"	"warble_247"	"warble_250"	"warble_251"	"warble_257"	"warble_262"	"warble_263"	"warble_265"	"warble_269"	"warble_272"	"warble_280"	"warble_282"	"warble_283"	"warble_286"	"warble_292"	"warble_293"	"warble_296"	"warble_307"	"warble_308"	"warble_310"	"warble_315"	"warble_318"	"warble_319"	"warble_324"	"warble_325"	"warble_326"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.575555555555556	0.562444444444444	0.533555555555556	0.534222222222222	0.819111111111111	0.523333333333333	0.559777777777778	0.468888888888889	0.606888888888889	0.656	0.602888888888889	0.486444444444444	0.594222222222222	0.406666666666667	0.655777777777778	0.604444444444444	0.454888888888889	0.601666666666667	0.627111111111111	0.646222222222222	0.685333333333333	0.747333333333333	0.578444444444444	0.454222222222222	0.707333333333333	0.431333333333333	0.519777777777778	0.65	0.49	0.431333333333333	0.682	0.366666666666667	0.580888888888889	0.703111111111111	0.546444444444444	0.518666666666667	0.284888888888889	0.622444444444444	0.792444444444444	0.603333333333333	0.590444444444444	0.649555555555556	0.565555555555556	0.550888888888889	0.702222222222222	0.559333333333333	0.574222222222222	0.666	0.507555555555556	0.65	0.515333333333333	0.524666666666667	0.364444444444444	0.598222222222222	0.613111111111111	0.416222222222222	0.627555555555556	0.256666666666667	0.645555555555556	0.461111111111111	0.598	0.316222222222222	0.333777777777778	0.153777777777778	0.242	0.266	0.626888888888889	0.433555555555556	0.363777777777778	0.548888888888889	0.482666666666667	0.347555555555556	0.644666666666667	0.457333333333333	0.541111111111111	0.509777777777778	0.354222222222222	0.253555555555556	0.561111111111111	0.385777777777778	0.524222222222222	0.617111111111111	0.586222222222222	0.404666666666667	0.484666666666667	0.0835555555555555	0.418222222222222	0.231777777777778	0.543333333333333	0.495111111111111	0.415777777777778	0.534	0.359777777777778	0.676444444444444	0.388222222222222	0.203555555555556	0.570888888888889	0.442888888888889	0.402444444444444	0.657555555555556	0.6	0.678444444444444	0.217333333333333	0.550666666666667	0.523555555555556	0.392222222222222	0.497555555555556	0.355333333333333	0.508222222222222	0.506444444444444	0.0146666666666667	0.418888888888889	0.440222222222222	0.0955555555555556	0.482222222222222	0.0373333333333333	0.404666666666667	0.565555555555556	0.637777777777778	0.546444444444444	0.764888888888889	0.523555555555556	0.702666666666667	0.501111111111111	0.458666666666667	0.448666666666667	0.659777777777778	0.670222222222222	0.833111111111111	0.617111111111111	0.626888888888889	0.609555555555556	0.553777777777778	0.576888888888889	0.730444444444444	0.684	0.639555555555556	0.667777777777778
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.186222222222222	0.257111111111111	0.176222222222222	0.276222222222222	0.0855555555555556	0.175777777777778	0.194444444444444	0.225777777777778	0.132666666666667	0.223111111111111	0.247111111111111	0.368666666666667	0.181555555555556	0.320222222222222	0.141333333333333	0.153777777777778	0.198888888888889	0.206222222222222	0.196222222222222	0.202666666666667	0.136222222222222	0.126666666666667	0.230444444444444	0.264666666666667	0.122444444444444	0.220888888888889	0.245777777777778	0.184	0.320222222222222	0.311777777777778	0.148	0.423555555555556	0.291555555555556	0.170666666666667	0.262888888888889	0.304888888888889	0.334666666666667	0.247111111111111	0.138888888888889	0.262444444444444	0.265777777777778	0.224222222222222	0.276666666666667	0.244888888888889	0.101777777777778	0.292666666666667	0.177777777777778	0.219111111111111	0.266666666666667	0.225777777777778	0.274666666666667	0.262666666666667	0.334222222222222	0.229111111111111	0.194666666666667	0.193777777777778	0.226	0.272222222222222	0.189777777777778	0.218	0.235777777777778	0.153777777777778	0.0733333333333333	0.174	0.163777777777778	0.138	0.214222222222222	0.318444444444444	0.380666666666667	0.193333333333333	0.181777777777778	0.376666666666667	0.170444444444444	0.273333333333333	0.155333333333333	0.163555555555556	0.168444444444444	0.214222222222222	0.278222222222222	0.346222222222222	0.298444444444444	0.248444444444444	0.24	0.226222222222222	0.310444444444444	0.392222222222222	0.232222222222222	0.12	0.136666666666667	0.19	0.215555555555556	0.232444444444444	0.284888888888889	0.153111111111111	0.136222222222222	0.0126666666666667	0.157777777777778	0.176666666666667	0.374222222222222	0.158	0.137555555555556	0.167555555555556	0.0766666666666667	0.284666666666667	0.218222222222222	0.346666666666667	0.235777777777778	0.424222222222222	0.226444444444444	0.273555555555556	0.00266666666666667	0.209333333333333	0.130222222222222	0.0308888888888889	0.215777777777778	0.0102222222222222	0.108666666666667	0.150222222222222	0.153333333333333	0.109333333333333	0.0731111111111111	0.204666666666667	0.144	0.279555555555556	0.239111111111111	0.318888888888889	0.181333333333333	0.215111111111111	0.0653333333333333	0.0846666666666667	0.220888888888889	0.112	0.252444444444444	0.233555555555556	0.110444444444444	0.190666666666667	0.121555555555556	0.116888888888889
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.134222222222222	0.0953333333333333	0.177777777777778	0.104888888888889	0.0457777777777778	0.239777777777778	0.183555555555556	0.209777777777778	0.205333333333333	0.0691111111111111	0.0513333333333333	0.0877777777777778	0.100888888888889	0.113333333333333	0.104444444444444	0.170444444444444	0.141555555555556	0.131222222222222	0.0828888888888889	0.104444444444444	0.102888888888889	0.0511111111111111	0.147555555555556	0.128888888888889	0.0742222222222222	0.154222222222222	0.0837777777777778	0.0646666666666667	0.118444444444444	0.127777777777778	0.0764444444444444	0.126222222222222	0.0582222222222222	0.0855555555555556	0.116222222222222	0.105555555555556	0.182222222222222	0.052	0.0375555555555556	0.0713333333333333	0.0553333333333333	0.0608888888888889	0.0671111111111111	0.0666666666666667	0.119111111111111	0.0897777777777778	0.0748888888888889	0.0488888888888889	0.125777777777778	0.0648888888888889	0.0846666666666667	0.0897777777777778	0.142222222222222	0.0704444444444444	0.0708888888888889	0.109555555555556	0.0402222222222222	0.195555555555556	0.0906666666666667	0.109333333333333	0.0828888888888889	0.158222222222222	0.0586666666666667	0.468888888888889	0.539333333333333	0.451777777777778	0.109111111111111	0.163111111111111	0.184222222222222	0.193333333333333	0.204222222222222	0.209555555555556	0.0426666666666667	0.220666666666667	0.183777777777778	0.183333333333333	0.362222222222222	0.472	0.0395555555555556	0.165555555555556	0.127777777777778	0.0842222222222222	0.0991111111111111	0.0628888888888889	0.0828888888888889	0.443333333333333	0.173333333333333	0.589111111111111	0.253777777777778	0.231777777777778	0.246444444444444	0.194222222222222	0.0966666666666667	0.115333333333333	0.342	0.00311111111111111	0.162	0.270222222222222	0.145111111111111	0.115111111111111	0.169555555555556	0.0948888888888889	0.110666666666667	0.0975555555555556	0.166	0.184888888888889	0.175111111111111	0.150666666666667	0.141111111111111	0.134	0.0182222222222222	0.146222222222222	0.326222222222222	0.0177777777777778	0.172444444444444	0.0255555555555556	0.131333333333333	0.195555555555556	0.147777777777778	0.158	0.09	0.131777777777778	0.0977777777777778	0.149111111111111	0.187777777777778	0.144222222222222	0.122666666666667	0.0564444444444444	0.0542222222222222	0.104444444444444	0.0915555555555556	0.131333333333333	0.0994444444444444	0.0637777777777778	0.062	0.0477777777777778	0.0815555555555556	0.115111111111111
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.0791111111111111	0.0415555555555556	0.0942222222222222	0.0664444444444444	0.0391111111111111	0.0417777777777778	0.0493333333333333	0.0657777777777778	0.0451111111111111	0.0404444444444444	0.082	0.0451111111111111	0.0966666666666667	0.130666666666667	0.0715555555555556	0.0533333333333333	0.181555555555556	0.0388888888888889	0.0822222222222222	0.0351111111111111	0.0626666666666667	0.0555555555555556	0.0362222222222222	0.119111111111111	0.0742222222222222	0.185111111111111	0.129111111111111	0.072	0.0502222222222222	0.109111111111111	0.0855555555555556	0.046	0.0371111111111111	0.0282222222222222	0.0608888888888889	0.0515555555555556	0.0477777777777778	0.0393333333333333	0.0202222222222222	0.0424444444444444	0.0471111111111111	0.0411111111111111	0.0666666666666667	0.0344444444444444	0.066	0.044	0.161777777777778	0.0522222222222222	0.0886666666666667	0.0437777777777778	0.094	0.108666666666667	0.141111111111111	0.092	0.109111111111111	0.267777777777778	0.0953333333333333	0.0893333333333333	0.0591111111111111	0.195555555555556	0.0688888888888889	0.0731111111111111	0.0711111111111111	0.168666666666667	0.0271111111111111	0.118	0.0315555555555556	0.0391111111111111	0.0253333333333333	0.0464444444444444	0.0711111111111111	0.0266666666666667	0.124888888888889	0.0217777777777778	0.0842222222222222	0.121333333333333	0.0928888888888889	0.032	0.0695555555555556	0.0168888888888889	0.0244444444444444	0.0202222222222222	0.0633333333333333	0.0282222222222222	0.0748888888888889	0.048	0.132444444444444	0.03	0.0377777777777778	0.0526666666666667	0.0644444444444444	0.0197777777777778	0.0402222222222222	0.0277777777777778	0.07	0.0515555555555556	0.0668888888888889	0.0646666666666667	0.0182222222222222	0.0522222222222222	0.0353333333333333	0.0466666666666667	0.0266666666666667	0.0355555555555556	0.0568888888888889	0.0448888888888889	0.0482222222222222	0.0335555555555556	0.0508888888888889	0.0651111111111111	0.00133333333333333	0.0371111111111111	0.0406666666666667	0.0106666666666667	0.105555555555556	0.0104444444444444	0.0573333333333333	0.0675555555555555	0.0337777777777778	0.0284444444444444	0.0524444444444444	0.111111111111111	0.0346666666666667	0.0324444444444444	0.0595555555555556	0.0308888888888889	0.0226666666666667	0.0248888888888889	0.0275555555555556	0.0142222222222222	0.0368888888888889	0.056	0.0521111111111111	0.0397777777777778	0.0728888888888889	0.056	0.0246666666666667	0.0746666666666667
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0155555555555556	0.0304444444444444	0.00177777777777778	0.00422222222222222	0.00377777777777778	0.000888888888888889	0.00355555555555556	0.00511111111111111	0.00333333333333333	0.00422222222222222	0.00444444444444444	0.00333333333333333	0.00288888888888889	0.0106666666666667	0.0184444444444444	0.0115555555555556	0.006	0.01	0.00577777777777778	0.00688888888888889	0.00555555555555556	0.00755555555555556	0.000888888888888889	0.0251111111111111	0.00511111111111111	0.00311111111111111	0.0106666666666667	0.00133333333333333	0.0102222222222222	0.00844444444444444	0.00311111111111111	0.0286666666666667	0.0171111111111111	0.000888888888888889	0.00688888888888889	0.00133333333333333	0.0951111111111111	0.0237777777777778	0.00177777777777778	0.00466666666666667	0.0297777777777778	0.00933333333333333	0.00755555555555556	0.0602222222222222	0.00466666666666667	0.00488888888888889	0.000888888888888889	0.00133333333333333	0.00111111111111111	0.00511111111111111	0.0195555555555556	0.00644444444444444	0.00755555555555556	0.00288888888888889	0.00444444444444444	0.00777777777777778	0.00533333333333333	0.171777777777778	0.00111111111111111	0.00977777777777778	0.00555555555555556	0.209555555555556	0.389555555555556	0.00155555555555556	0.00244444444444444	0.002	0.0122222222222222	0.0251111111111111	0.0182222222222222	0.00533333333333333	0.0186666666666667	0.00355555555555556	0.00711111111111111	0.0184444444444444	0.00977777777777778	0.00155555555555556	0.00644444444444444	0.00466666666666667	0.0431111111111111	0.0284444444444444	0.00977777777777778	0.018	0.00622222222222222	0.246444444444444	0.0342222222222222	0.0157777777777778	0.0211111111111111	0.00666666666666667	0.00844444444444444	0.00644444444444444	0.004	0.00733333333333333	0.192222222222222	0.00711111111111111	0.00533333333333333	0.696444444444444	0.0282222222222222	0.024	0.0244444444444444	0.00511111111111111	0.014	0.00555555555555556	0.293555555555556	0.0171111111111111	0.0226666666666667	0.0106666666666667	0.028	0.0262222222222222	0.0615555555555556	0.0142222222222222	0.393333333333333	0.0766666666666667	0.0213333333333333	0.762222222222222	0.012	0.896	0.282888888888889	0.0113333333333333	0.0102222222222222	0.105777777777778	0.00422222222222222	0.0146666666666667	0.0135555555555556	0.0208888888888889	0.00888888888888889	0.0355555555555556	0.004	0.012	0.004	0.143777777777778	0.00666666666666667	0.0635555555555556	0.0232222222222222	0.0373333333333333	0.0182222222222222	0.00666666666666667	0.109111111111111	0.0111111111111111
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00288888888888889	0.002	0.00155555555555556	0.0104444444444444	0.00133333333333333	0.00333333333333333	0.00266666666666667	0.00688888888888889	0.00266666666666667	0.00311111111111111	0.00311111111111111	0.00133333333333333	0.0111111111111111	0.00444444444444444	0.00133333333333333	0.000888888888888889	0.000888888888888889	0.00166666666666667	0.00155555555555556	0.00177777777777778	0.00177777777777778	0.00155555555555556	0.002	0.00177777777777778	0.00133333333333333	0.00488888888888889	0.00511111111111111	0.0164444444444444	0.00444444444444444	0.00355555555555556	0.00155555555555556	0.00244444444444444	0.002	0.00333333333333333	0.00155555555555556	0.00577777777777778	0.00666666666666667	0.00333333333333333	0.00155555555555556	0.00644444444444444	0.00377777777777778	0.004	0.00155555555555556	0.0366666666666667	0.00288888888888889	0.00377777777777778	0.00488888888888889	0.00666666666666667	0.00466666666666667	0.004	0.00444444444444444	0.00222222222222222	0.00488888888888889	0.00266666666666667	0.00155555555555556	0.00222222222222222	0.00177777777777778	0.00511111111111111	0.00333333333333333	0.00244444444444444	0.00377777777777778	0.044	0.0255555555555556	0.00333333333333333	0.00733333333333333	0.00533333333333333	0.00177777777777778	0.00533333333333333	0.00622222222222222	0.00266666666666667	0.00555555555555556	0.00533333333333333	0.00311111111111111	0.002	0.002	0.00177777777777778	0.00266666666666667	0.00644444444444444	0.00155555555555556	0.00888888888888889	0.00466666666666667	0.00488888888888889	0.00222222222222222	0.00933333333333333	0.00711111111111111	0.00111111111111111	0.00155555555555556	0.00222222222222222	0.00511111111111111	0.00355555555555556	0.0111111111111111	0.00244444444444444	0.00111111111111111	0.00644444444444444	0.00933333333333333	0.01	0.00244444444444444	0.00688888888888889	0.0135555555555556	0.00244444444444444	0.00133333333333333	0.00111111111111111	0.109777777777778	0.006	0.00133333333333333	0.00377777777777778	0.00155555555555556	0.00355555555555556	0.00333333333333333	0.002	0.514888888888889	0.00688888888888889	0.00288888888888889	0.0371111111111111	0.002	0.00488888888888889	0.00333333333333333	0.002	0.00333333333333333	0.002	0.002	0.00422222222222222	0.002	0.00311111111111111	0.006	0.00866666666666667	0.00511111111111111	0.00733333333333333	0.00488888888888889	0.00644444444444444	0.00177777777777778	0.0115555555555556	0.00533333333333333	0.00311111111111111	0.00311111111111111	0.00466666666666667	0.00288888888888889	0.00222222222222222
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.002	0.00911111111111111	0.00266666666666667	0.000444444444444444	0.002	0.002	0.00244444444444444	0.00377777777777778	0.000888888888888889	0.00177777777777778	0.000666666666666667	0.000444444444444444	0.00822222222222222	0.000888888888888889	0.00177777777777778	0.00333333333333333	0.00955555555555555	0.00455555555555556	0.000888888888888889	0.000222222222222222	0.00333333333333333	0.00311111111111111	0.000888888888888889	0.00155555555555556	0.004	0	0.00133333333333333	0.000444444444444444	0.000444444444444444	0.00177777777777778	0.000222222222222222	0.00177777777777778	0.00755555555555556	0.00133333333333333	0.00133333333333333	0.000666666666666667	0.0111111111111111	0.00511111111111111	0.00133333333333333	0.00288888888888889	0.00177777777777778	0.00288888888888889	0.00422222222222222	0.00222222222222222	0.00177777777777778	0.00177777777777778	0.00177777777777778	0.000666666666666667	0.000666666666666667	0.004	0.00288888888888889	0.002	0.00177777777777778	0.002	0.000888888888888889	0	0.000222222222222222	0.00155555555555556	0.000888888888888889	0.000222222222222222	0.000222222222222222	0.0326666666666667	0.0422222222222222	0.00222222222222222	0.00688888888888889	0.00133333333333333	0.000444444444444444	0.00266666666666667	0.00622222222222222	0.00511111111111111	0.0153333333333333	0.000888888888888889	0.00133333333333333	0.00266666666666667	0.00444444444444444	0.000444444444444444	0.00666666666666667	0.00288888888888889	0.00266666666666667	0.000666666666666667	0.00177777777777778	0.000888888888888889	0.000666666666666667	0.00266666666666667	0.00177777777777778	0.00377777777777778	0.00111111111111111	0.00355555555555556	0.00111111111111111	0.00222222222222222	0.00111111111111111	0.00222222222222222	0.0197777777777778	0.00711111111111111	0.00511111111111111	0.0175555555555556	0.00866666666666667	0.006	0.00111111111111111	0.00288888888888889	0.036	0.00155555555555556	0.159777777777778	0.00511111111111111	0.00822222222222222	0.00177777777777778	0.000666666666666667	0.000888888888888889	0.006	0.000222222222222222	0.0511111111111111	0.0542222222222222	0.008	0.0393333333333333	0.00888888888888889	0.0102222222222222	0.00866666666666667	0.002	0.00844444444444444	0.0424444444444444	0.00977777777777778	0.00644444444444444	0.00133333333333333	0.00533333333333333	0.0237777777777778	0.000888888888888889	0.00111111111111111	0.00555555555555556	0.00288888888888889	0.0231111111111111	0.00844444444444444	0.00511111111111111	0.00322222222222222	0.022	0.00133333333333333	0.00688888888888889	0.00977777777777778	0.006
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.00288888888888889	0.000888888888888889	0.0104444444444444	0.00288888888888889	0.002	0.00622222222222222	0.00288888888888889	0.008	0.002	0.00155555555555556	0.00377777777777778	0.00622222222222222	0.00222222222222222	0.012	0.004	0.00133333333333333	0.00288888888888889	0.00244444444444444	0.00177777777777778	0.002	0.00177777777777778	0.00466666666666667	0.00133333333333333	0.00244444444444444	0.006	0.000222222222222222	0.00177777777777778	0.004	0.000666666666666667	0.00466666666666667	0.00244444444444444	0.00333333333333333	0.002	0.00355555555555556	0.00244444444444444	0.0104444444444444	0.01	0.00177777777777778	0.00311111111111111	0.00311111111111111	0.00222222222222222	0.00488888888888889	0.004	0.00266666666666667	0.000888888888888889	0.00244444444444444	0.00222222222222222	0.00488888888888889	0.002	0.00155555555555556	0.00266666666666667	0.000888888888888889	0.00222222222222222	0.000444444444444444	0.00244444444444444	0.000666666666666667	0.00288888888888889	0.00688888888888889	0.00755555555555556	0.00111111111111111	0.00311111111111111	0.00422222222222222	0.00266666666666667	0.00644444444444444	0.00422222222222222	0.00755555555555556	0.00333333333333333	0.00577777777777778	0.00466666666666667	0.00333333333333333	0.0164444444444444	0.0202222222222222	0.00466666666666667	0.00177777777777778	0.0177777777777778	0.0137777777777778	0.00422222222222222	0.00666666666666667	0.00266666666666667	0.0435555555555556	0.00466666666666667	0.00511111111111111	0.000888888888888889	0.0188888888888889	0.00333333333333333	0.00377777777777778	0.0111111111111111	0.0128888888888889	0.00666666666666667	0.0122222222222222	0.0355555555555556	0.00177777777777778	0.00133333333333333	0.004	0.0364444444444444	0.00311111111111111	0.00111111111111111	0.00511111111111111	0.0157777777777778	0.00244444444444444	0.00488888888888889	0.00266666666666667	0.00266666666666667	0.00155555555555556	0.000888888888888889	0.0106666666666667	0.00133333333333333	0.002	0.000666666666666667	0.00111111111111111	0.000888888888888889	0.00177777777777778	0.00222222222222222	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.00177777777777778	0.00133333333333333	0.00244444444444444	0.00466666666666667	0.00177777777777778	0.000444444444444444	0.00244444444444444	0.00155555555555556	0.01	0.00977777777777778	0.00177777777777778	0.00555555555555556	0.00622222222222222	0.00355555555555556	0.00288888888888889	0.000888888888888889	0.00177777777777778	0.00311111111111111	0.00111111111111111	0.000444444444444444	0.00555555555555556	0.00444444444444444
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0	0.000222222222222222	0.000444444444444444	0.000222222222222222	0	0.00133333333333333	0.000444444444444444	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0.000888888888888889	0.000222222222222222	0.000666666666666667	0.00255555555555556	0.000888888888888889	0.000222222222222222	0	0	0.000222222222222222	0.00111111111111111	0	0	0	0	0.00311111111111111	0.000222222222222222	0	0	0	0	0.000888888888888889	0	0.0231111111111111	0.000444444444444444	0	0	0.00155555555555556	0	0.00111111111111111	0	0.000222222222222222	0	0.000222222222222222	0	0.00133333333333333	0	0	0.000222222222222222	0	0.000222222222222222	0.002	0.000666666666666667	0	0	0	0.000222222222222222	0	0.00333333333333333	0.00111111111111111	0.00822222222222222	0	0.00622222222222222	0	0	0	0.000222222222222222	0.00155555555555556	0.00355555555555556	0	0.00111111111111111	0	0	0.000222222222222222	0.000444444444444444	0	0.000888888888888889	0	0	0	0.000222222222222222	0	0.000666666666666667	0.000222222222222222	0.000222222222222222	0.000444444444444444	0	0.00111111111111111	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.00288888888888889	0	0.000222222222222222	0.000222222222222222	0	0	0.000888888888888889	0.000222222222222222	0.00155555555555556	0.000222222222222222	0	0.00377777777777778	0.00955555555555555	0.00177777777777778	0.000666666666666667	0	0	0.0475555555555556	0.0262222222222222	0.000222222222222222	0	0.00222222222222222	0	0.00266666666666667	0.00222222222222222	0.000666666666666667	0.000222222222222222	0	0.000444444444444444	0.00533333333333333	0.00222222222222222	0.00111111111111111	0	0	0	0.00155555555555556	0.00266666666666667	0.00288888888888889	0.00666666666666667	0.02	0	0.002	0	0.000444444444444444
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.00111111111111111	0.000222222222222222	0.000444444444444444	0	0.000888888888888889	0.004	0.000444444444444444	0.00444444444444444	0.000666666666666667	0.000222222222222222	0.00355555555555556	0.000666666666666667	0.00177777777777778	0.000666666666666667	0.000222222222222222	0.000222222222222222	0.00311111111111111	0.000555555555555556	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.00244444444444444	0.00155555555555556	0.00111111111111111	0.00466666666666667	0.000222222222222222	0.00222222222222222	0.00666666666666667	0.00133333333333333	0.000444444444444444	0.000666666666666667	0.000888888888888889	0.00222222222222222	0.00266666666666667	0.000222222222222222	0.000888888888888889	0.00133333333333333	0.00355555555555556	0.002	0.00222222222222222	0.00222222222222222	0.00111111111111111	0.00422222222222222	0.000666666666666667	0.000222222222222222	0.000222222222222222	0.00133333333333333	0.000222222222222222	0.000444444444444444	0.000888888888888889	0.00177777777777778	0.00222222222222222	0.00111111111111111	0.00111111111111111	0.000888888888888889	0.000888888888888889	0.000666666666666667	0.000222222222222222	0.000222222222222222	0.00155555555555556	0.000444444444444444	0	0.000222222222222222	0	0.000444444444444444	0.00222222222222222	0.000444444444444444	0.000222222222222222	0.00244444444444444	0.000444444444444444	0	0.00111111111111111	0.00111111111111111	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.000888888888888889	0	0.00133333333333333	0.00111111111111111	0.000444444444444444	0	0.000666666666666667	0	0.000444444444444444	0	0.000444444444444444	0.000444444444444444	0.000666666666666667	0.000222222222222222	0.00111111111111111	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.000666666666666667	0.00177777777777778	0.000444444444444444	0.000222222222222222	0.000222222222222222	0.00377777777777778	0.000444444444444444	0.000666666666666667	0.000444444444444444	0.000888888888888889	0.000666666666666667	0.000222222222222222	0.000222222222222222	0.000666666666666667	0.000666666666666667	0.000222222222222222	0	0.00111111111111111	0.000666666666666667	0.000222222222222222	0.000444444444444444	0	0.000666666666666667	0.000888888888888889	0	0.000666666666666667	0.000888888888888889	0.000222222222222222	0.000444444444444444	0.000888888888888889	0.00155555555555556	0.000222222222222222	0.000666666666666667	0.00133333333333333	0.000444444444444444	0.000444444444444444	0.000888888888888889	0.00222222222222222	0.000777777777777778	0.000444444444444444	0.000222222222222222	0.000888888888888889	0.00222222222222222	0.000666666666666667
"k__Bacteria|p__Spirochaetes|c__Spirochaetia"	0	0	0	0	0	0.000444444444444444	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0.000888888888888889	0	0	0	0	0.000222222222222222	0	0	0.002	0.000222222222222222	0.000444444444444444	0.000444444444444444	0	0.000444444444444444	0.000222222222222222	0.000222222222222222	0.000222222222222222	0	0	0	0.000444444444444444	0	0	0	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0	0.000444444444444444	0	0.002	0.00488888888888889	0.000444444444444444	0	0.00555555555555556	0.00666666666666667	0.000888888888888889	0.002	0.00377777777777778	0	0.000444444444444444	0.000888888888888889	0.00244444444444444	0.000222222222222222	0.00422222222222222	0	0.00133333333333333	0.00311111111111111	0.000888888888888889	0.000222222222222222	0	0	0.00644444444444444	0.00488888888888889	0.00177777777777778	0.00377777777777778	0.00355555555555556	0.002	0.00222222222222222	0.00288888888888889	0.00133333333333333	0.002	0	0.000444444444444444	0.00133333333333333	0.00377777777777778	0	0	0	0	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.000666666666666667	0.000888888888888889	0	0.00177777777777778	0	0	0.000666666666666667	0	0.000222222222222222	0	0	0.000222222222222222	0	0	0	0.000222222222222222	0.000222222222222222	0.000222222222222222	0	0.000444444444444444	0.000222222222222222	0.000666666666666667	0	0	0	0	0.000111111111111111	0	0	0	0	0
